sensor,valor,unidade,status,timestamp,ciclo,tipo,nome,estado,codigo,severidade
TQ-MIX-PT,1.96,BAR,OK,2026-06-28 01:02:17,10,,,,,
RES-Q-TT,75.0347,C,OK,2026-06-28 01:02:17,10,,,,,
RES-F-TT,14.6314,C,OK,2026-06-28 01:02:17,10,,,,,
,0.0,,,2026-06-28 01:02:17,10,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:02:17,10,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:02:22,11,,,,,
TQ-MIX-LT,47.8,%,OK,2026-06-28 01:02:22,11,,,,,
TQ-MIX-PT,1.956,BAR,OK,2026-06-28 01:02:22,11,,,,,
RES-Q-TT,74.8166,C,OK,2026-06-28 01:02:22,11,,,,,
RES-F-TT,14.5179,C,OK,2026-06-28 01:02:22,11,,,,,
,0.0,,,2026-06-28 01:02:22,11,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:02:22,11,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:02:27,12,,,,,
TQ-MIX-LT,47.6,%,OK,2026-06-28 01:02:27,12,,,,,
TQ-MIX-PT,1.952,BAR,OK,2026-06-28 01:02:27,12,,,,,
RES-Q-TT,74.9134,C,OK,2026-06-28 01:02:27,12,,,,,
RES-F-TT,14.8033,C,OK,2026-06-28 01:02:27,12,,,,,
,0.0,,,2026-06-28 01:02:27,12,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:02:27,12,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:02:32,13,,,,,
TQ-MIX-LT,47.4,%,OK,2026-06-28 01:02:32,13,,,,,
TQ-MIX-PT,1.948,BAR,OK,2026-06-28 01:02:32,13,,,,,
RES-Q-TT,74.7349,C,OK,2026-06-28 01:02:32,13,,,,,
RES-F-TT,15.024,C,OK,2026-06-28 01:02:32,13,,,,,
,0.0,,,2026-06-28 01:02:32,13,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:02:32,13,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:02:37,14,,,,,
TQ-MIX-LT,47.2,%,OK,2026-06-28 01:02:37,14,,,,,
TQ-MIX-PT,1.944,BAR,OK,2026-06-28 01:02:37,14,,,,,
RES-Q-TT,74.461,C,OK,2026-06-28 01:02:37,14,,,,,
RES-F-TT,15.1019,C,OK,2026-06-28 01:02:37,14,,,,,
,0.0,,,2026-06-28 01:02:37,14,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:02:37,14,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:02:42,15,,,,,
TQ-MIX-LT,47.0,%,OK,2026-06-28 01:02:42,15,,,,,
TQ-MIX-PT,1.94,BAR,OK,2026-06-28 01:02:42,15,,,,,
RES-Q-TT,74.686,C,OK,2026-06-28 01:02:42,15,,,,,
RES-F-TT,15.3315,C,OK,2026-06-28 01:02:42,15,,,,,
,0.0,,,2026-06-28 01:02:42,15,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:02:42,15,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:02:47,16,,,,,
TQ-MIX-LT,46.8,%,OK,2026-06-28 01:02:47,16,,,,,
TQ-MIX-PT,1.936,BAR,OK,2026-06-28 01:02:47,16,,,,,
RES-Q-TT,74.8105,C,OK,2026-06-28 01:02:47,16,,,,,
RES-F-TT,15.4563,C,OK,2026-06-28 01:02:47,16,,,,,
,0.0,,,2026-06-28 01:02:47,16,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:02:47,16,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:02:52,17,,,,,
TQ-MIX-LT,46.6,%,OK,2026-06-28 01:02:52,17,,,,,
TQ-MIX-PT,1.932,BAR,OK,2026-06-28 01:02:52,17,,,,,
RES-Q-TT,74.8374,C,OK,2026-06-28 01:02:52,17,,,,,
RES-F-TT,15.7167,C,OK,2026-06-28 01:02:52,17,,,,,
,0.0,,,2026-06-28 01:02:52,17,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:02:52,17,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:02:57,18,,,,,
TQ-MIX-LT,46.4,%,OK,2026-06-28 01:02:57,18,,,,,
TQ-MIX-PT,1.928,BAR,OK,2026-06-28 01:02:57,18,,,,,
RES-Q-TT,74.602,C,OK,2026-06-28 01:02:57,18,,,,,
RES-F-TT,15.8091,C,OK,2026-06-28 01:02:57,18,,,,,
,0.0,,,2026-06-28 01:02:57,18,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:02:57,18,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:03:02,19,,,,,
TQ-MIX-LT,46.2,%,OK,2026-06-28 01:03:02,19,,,,,
TQ-MIX-PT,1.924,BAR,OK,2026-06-28 01:03:02,19,,,,,
RES-Q-TT,74.6526,C,OK,2026-06-28 01:03:02,19,,,,,
RES-F-TT,15.524,C,OK,2026-06-28 01:03:02,19,,,,,
,0.0,,,2026-06-28 01:03:02,19,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:03:02,19,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:03:07,20,,,,,
TQ-MIX-LT,46.0,%,OK,2026-06-28 01:03:07,20,,,,,
TQ-MIX-PT,1.92,BAR,OK,2026-06-28 01:03:07,20,,,,,
RES-Q-TT,74.6278,C,OK,2026-06-28 01:03:07,20,,,,,
RES-F-TT,15.3163,C,OK,2026-06-28 01:03:07,20,,,,,
,0.0,,,2026-06-28 01:03:07,20,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:03:07,20,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:03:12,21,,,,,
TQ-MIX-LT,45.8,%,OK,2026-06-28 01:03:12,21,,,,,
TQ-MIX-PT,1.916,BAR,OK,2026-06-28 01:03:12,21,,,,,
RES-Q-TT,74.5982,C,OK,2026-06-28 01:03:12,21,,,,,
RES-F-TT,15.4594,C,OK,2026-06-28 01:03:12,21,,,,,
,0.0,,,2026-06-28 01:03:12,21,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:03:12,21,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,15.5764,C,OK,2026-06-28 01:03:17,22,,,,,
TQ-MIX-LT,46.24,%,OK,2026-06-28 01:03:17,22,,,,,
TQ-MIX-PT,1.9248,BAR,OK,2026-06-28 01:03:17,22,,,,,
RES-Q-TT,74.5277,C,OK,2026-06-28 01:03:17,22,,,,,
RES-F-TT,15.5764,C,OK,2026-06-28 01:03:17,22,,,,,
,0.0,,,2026-06-28 01:03:17,22,atuador,BOMBA-Q,PRINCIPAL,,
,40.0,,,2026-06-28 01:03:17,22,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,15.5387,C,OK,2026-06-28 01:03:22,23,,,,,
TQ-MIX-LT,46.6,%,OK,2026-06-28 01:03:22,23,,,,,
TQ-MIX-PT,1.932,BAR,OK,2026-06-28 01:03:22,23,,,,,
RES-Q-TT,74.6967,C,OK,2026-06-28 01:03:22,23,,,,,
RES-F-TT,15.5387,C,OK,2026-06-28 01:03:22,23,,,,,
,0.0,,,2026-06-28 01:03:22,23,atuador,BOMBA-Q,PRINCIPAL,,
,40.0,,,2026-06-28 01:03:22,23,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,15.2762,C,OK,2026-06-28 01:03:27,24,,,,,
TQ-MIX-LT,46.88,%,OK,2026-06-28 01:03:27,24,,,,,
TQ-MIX-PT,1.9376,BAR,OK,2026-06-28 01:03:27,24,,,,,
RES-Q-TT,74.6785,C,OK,2026-06-28 01:03:27,24,,,,,
RES-F-TT,15.2762,C,OK,2026-06-28 01:03:27,24,,,,,
,0.0,,,2026-06-28 01:03:27,24,atuador,BOMBA-Q,PRINCIPAL,,
,40.0,,,2026-06-28 01:03:27,24,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,15.0956,C,OK,2026-06-28 01:03:32,25,,,,,
TQ-MIX-LT,47.08,%,OK,2026-06-28 01:03:32,25,,,,,
TQ-MIX-PT,1.9416,BAR,OK,2026-06-28 01:03:32,25,,,,,
RES-Q-TT,74.6662,C,OK,2026-06-28 01:03:32,25,,,,,
RES-F-TT,15.0956,C,OK,2026-06-28 01:03:32,25,,,,,
,0.0,,,2026-06-28 01:03:32,25,atuador,BOMBA-Q,PRINCIPAL,,
,40.0,,,2026-06-28 01:03:32,25,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,15.3121,C,OK,2026-06-28 01:03:37,26,,,,,
TQ-MIX-LT,47.2,%,OK,2026-06-28 01:03:37,26,,,,,
TQ-MIX-PT,1.944,BAR,OK,2026-06-28 01:03:37,26,,,,,
RES-Q-TT,74.7591,C,OK,2026-06-28 01:03:37,26,,,,,
RES-F-TT,15.3121,C,OK,2026-06-28 01:03:37,26,,,,,
,0.0,,,2026-06-28 01:03:37,26,atuador,BOMBA-Q,PRINCIPAL,,
,40.0,,,2026-06-28 01:03:37,26,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,15.3014,C,OK,2026-06-28 01:03:42,27,,,,,
TQ-MIX-LT,47.24,%,OK,2026-06-28 01:03:42,27,,,,,
TQ-MIX-PT,1.9448,BAR,OK,2026-06-28 01:03:42,27,,,,,
RES-Q-TT,75.0172,C,OK,2026-06-28 01:03:42,27,,,,,
RES-F-TT,15.3014,C,OK,2026-06-28 01:03:42,27,,,,,
,0.0,,,2026-06-28 01:03:42,27,atuador,BOMBA-Q,PRINCIPAL,,
,40.0,,,2026-06-28 01:03:42,27,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,15.4558,C,OK,2026-06-28 01:03:47,28,,,,,
TQ-MIX-LT,47.2,%,OK,2026-06-28 01:03:47,28,,,,,
TQ-MIX-PT,1.944,BAR,OK,2026-06-28 01:03:47,28,,,,,
RES-Q-TT,75.2361,C,OK,2026-06-28 01:03:47,28,,,,,
RES-F-TT,15.4558,C,OK,2026-06-28 01:03:47,28,,,,,
,0.0,,,2026-06-28 01:03:47,28,atuador,BOMBA-Q,PRINCIPAL,,
,40.0,,,2026-06-28 01:03:47,28,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,28.3564,C,OK,2026-06-28 10:21:16,1,leitura,,,,
TQ-MIX-LT,50.12,%,OK,2026-06-28 10:21:16,1,leitura,,,,
TQ-MIX-PT,2.0024,BAR,OK,2026-06-28 10:21:16,1,leitura,,,,
RES-Q-TT,70.9291,C,OK,2026-06-28 10:21:16,1,leitura,,,,
RES-F-TT,19.0112,C,OK,2026-06-28 10:21:16,1,leitura,,,,
,8.0,,,2026-06-28 10:21:16,1,atuador,BOMBA-Q,PRINCIPAL,,
,8.0,,,2026-06-28 10:21:16,1,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,30.6594,C,OK,2026-06-28 10:21:47,2,leitura,,,,
TQ-MIX-LT,50.752,%,OK,2026-06-28 10:21:47,2,leitura,,,,
TQ-MIX-PT,2.01504,BAR,OK,2026-06-28 10:21:47,2,leitura,,,,
RES-Q-TT,72.0096,C,OK,2026-06-28 10:21:47,2,leitura,,,,
RES-F-TT,18.2543,C,OK,2026-06-28 10:21:47,2,leitura,,,,
,28.0,,,2026-06-28 10:21:47,2,atuador,BOMBA-Q,PRINCIPAL,,
,40.0,,,2026-06-28 10:21:47,2,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,48.4765,C,OK,2026-06-28 10:21:52,3,leitura,,,,
TQ-MIX-LT,51.84,%,OK,2026-06-28 10:21:52,3,leitura,,,,
TQ-MIX-PT,2.0368,BAR,OK,2026-06-28 10:21:52,3,leitura,,,,
RES-Q-TT,72.5193,C,OK,2026-06-28 10:21:52,3,leitura,,,,
RES-F-TT,17.2209,C,OK,2026-06-28 10:21:52,3,leitura,,,,
,28.0,,,2026-06-28 10:21:52,3,atuador,BOMBA-Q,PRINCIPAL,,
,40.0,,,2026-06-28 10:21:52,3,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,51.3353,C,OK,2026-06-28 10:21:57,4,leitura,,,,
TQ-MIX-LT,52.904,%,OK,2026-06-28 10:21:57,4,leitura,,,,
TQ-MIX-PT,2.05808,BAR,OK,2026-06-28 10:21:57,4,leitura,,,,
RES-Q-TT,72.8719,C,OK,2026-06-28 10:21:57,4,leitura,,,,
RES-F-TT,16.1589,C,OK,2026-06-28 10:21:57,4,leitura,,,,
,28.0,,,2026-06-28 10:21:57,4,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:21:57,4,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,48.2087,C,OK,2026-06-28 10:22:02,5,leitura,,,,
TQ-MIX-LT,53.992,%,OK,2026-06-28 10:22:02,5,leitura,,,,
TQ-MIX-PT,2.07984,BAR,OK,2026-06-28 10:22:02,5,leitura,,,,
RES-Q-TT,73.1491,C,OK,2026-06-28 10:22:02,5,leitura,,,,
RES-F-TT,15.7862,C,OK,2026-06-28 10:22:02,5,leitura,,,,
,28.0,,,2026-06-28 10:22:02,5,atuador,BOMBA-Q,PRINCIPAL,,
,40.0,,,2026-06-28 10:22:02,5,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,51.3689,C,OK,2026-06-28 10:22:07,6,leitura,,,,
TQ-MIX-LT,55.056,%,OK,2026-06-28 10:22:07,6,leitura,,,,
TQ-MIX-PT,2.10112,BAR,OK,2026-06-28 10:22:07,6,leitura,,,,
RES-Q-TT,73.5694,C,OK,2026-06-28 10:22:07,6,leitura,,,,
RES-F-TT,15.1081,C,OK,2026-06-28 10:22:07,6,leitura,,,,
,28.0,,,2026-06-28 10:22:07,6,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:22:07,6,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,48.2523,C,OK,2026-06-28 10:22:12,7,leitura,,,,
TQ-MIX-LT,56.144,%,OK,2026-06-28 10:22:12,7,leitura,,,,
TQ-MIX-PT,2.12288,BAR,OK,2026-06-28 10:22:12,7,leitura,,,,
RES-Q-TT,73.7027,C,OK,2026-06-28 10:22:12,7,leitura,,,,
RES-F-TT,15.1667,C,OK,2026-06-28 10:22:12,7,leitura,,,,
,28.0,,,2026-06-28 10:22:12,7,atuador,BOMBA-Q,PRINCIPAL,,
,40.0,,,2026-06-28 10:22:12,7,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,51.5436,C,OK,2026-06-28 10:22:17,8,leitura,,,,
TQ-MIX-LT,57.208,%,OK,2026-06-28 10:22:17,8,leitura,,,,
TQ-MIX-PT,2.14416,BAR,OK,2026-06-28 10:22:17,8,leitura,,,,
RES-Q-TT,73.9513,C,OK,2026-06-28 10:22:17,8,leitura,,,,
RES-F-TT,14.9443,C,OK,2026-06-28 10:22:17,8,leitura,,,,
,28.0,,,2026-06-28 10:22:17,8,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:22:17,8,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,48.3978,C,OK,2026-06-28 10:22:22,9,leitura,,,,
TQ-MIX-LT,58.296,%,OK,2026-06-28 10:22:22,9,leitura,,,,
TQ-MIX-PT,2.16592,BAR,OK,2026-06-28 10:22:22,9,leitura,,,,
